74,180
72,215
73,210
75,205
78,220
74,200
72,190
70,195
69,185
71,200
76,225
73,210
72,190
74,215
77,235
70,180
69,170
72,210
75,220
73,195
71,185
76,205
78,230
70,175
69,160
74,210
73,200
77,240
75,215
72,190
70,180
69,170
72,210
75,220
73,195
71,185
76,205
78,230
70,175
69,160
74,210
73,200
77,240
75,215
72,190
72,190
74,215
77,235
70,180
69,170
72,210
75,220
73,195
71,185
72,190
74,215
77,235
70,180
69,170
72,210
75,220
73,195
71,185
